ph,calcium_mol_m3,inorganic_carbon_mol_m3,alpha_co2,alpha_hco3,alpha_co3,calcite_saturation
8.0,0.0,0.0,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,0.01,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,0.01617854254457877,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,0.026174523886674537,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,0.04234656482846575,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,0.06851057006940962,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,0.11084011726212886,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,0.17932315527714526,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,0.29011872968794,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,0.4693698211235485,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,0.7593719620188658,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,1.2285531594682475,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,1.9876199558733711,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,3.2156794018551147,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,5.202500601263859,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,8.416887731574398,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,13.617297625821951,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,22.030802898155194,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,35.64262819790331,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,57.66457767003818,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,93.29288231498796,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,150.93428656394133,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,244.18967766103688,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,395.0633088986062,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,639.1548550818165,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,1034.059401551527,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,1672.957402162304,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,2706.601250615082,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,4378.886348428621,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,7084.399908592763,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,11461.526532397798,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,18543.079463021615,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.0,30000.0,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.01,0.0,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0
8.0,0.01,0.01,0.02059162234668289,0.974295203739238,0.00511317391407925,0.00015433010817515923
8.0,0.01,0.01617854254457877,0.02059162234668289,0.974295203739238,0.00511317391407925,0.0002496836221021258
8.0,0.01,0.026174523886674537,0.02059162234668289,0.974295203739238,0.00511317391407925,0.000403951710286377
