capsule_calcium_lactate_mol_m3,spore_density_rel,active_density_rel,lactate_mol_m3,oxygen_mol_m3,calcium_mol_m3,inorganic_carbon_mol_m3,hydrated_carbon_mol_m3,portlandite_mol_m3,calcite_mol_m3,csh_volume_fraction,biomass_carbon_mol_m3,ammonium_mol_m3,solid_fraction,healing_ratio,aperture_mm,porosity,permeability_ratio,transmissivity_ratio,sorptivity_ratio,x_mm,y_mm,time_d
1.4237087201700956e-10,1.7796359002126194e-14,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,0.0,0.0,0.0
0.0029256970608976213,3.6571213261220266e-07,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,7.142857142857143,0.0,0.0
0.173630301444213,2.1703787680526624e-05,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,14.285714285714286,0.0,0.0
0.22094888610349306,2.7618610762936634e-05,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,21.42857142857143,0.0,0.0
0.037575296444655924,4.6969120555819905e-06,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,28.571428571428573,0.0,0.0
0.0011641042619237125,1.4551303274046408e-07,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,35.714285714285715,0.0,0.0
0.20775065651835856,2.596883206479482e-05,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,42.85714285714286,0.0,0.0
0.1383225775439627,1.729032219299534e-05,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,50.0,0.0,0.0
8.42034758222162e-06,1.0525434477777024e-09,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,57.142857142857146,0.0,0.0
1.481193909150575e-15,1.851492386438219e-19,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,64.28571428571429,0.0,0.0
1.1863556853601273e-14,1.4829446067001592e-18,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,71.42857142857143,0.0,0.0
2.6500819143634186e-05,3.3126023929542735e-09,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,78.57142857142857,0.0,0.0
8.733946650191033,0.001091743331273879,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,85.71428571428572,0.0,0.0
8823.907024697668,1.1029883780872085,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,92.85714285714286,0.0,0.0
52.082755727845054,0.006510344465980632,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,100.0,0.0,0.0
1.8073199468764113e-08,2.259149933595514e-12,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,0.0,0.075,0.0
0.37140115683538305,4.642514460442288e-05,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,7.142857142857143,0.075,0.0
22.041412174872352,0.002755176521859044,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,14.285714285714286,0.075,0.0
28.04824634685522,0.0035060307933569026,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,21.42857142857143,0.075,0.0
4.7699773002800425,0.0005962471625350054,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,28.571428571428573,0.075,0.0
0.14777663597981008,1.847207949747626e-05,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,35.714285714285715,0.075,0.0
26.37280366291786,0.0032966004578647325,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,42.85714285714286,0.075,0.0
17.559290742329374,0.0021949113427911717,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,50.0,0.075,0.0
0.0010689168317493704,1.336146039686713e-07,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,57.142857142857146,0.075,0.0
1.8802942338372776e-13,2.350367792296597e-17,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,64.28571428571429,0.075,0.0
1.506013261760673e-12,1.8825165772008413e-16,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,71.42857142857143,0.075,0.0
0.003359738677629951,4.1996733470374386e-07,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,78.57142857142857,0.075,0.0
28.96704793529364,0.003620880991911705,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,85.71428571428572,0.075,0.0
7547.8874947392615,0.9434859368424077,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,92.85714285714286,0.075,0.0
44.548741766582566,0.0055685927208228205,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,100.0,0.075,0.0
4.809100029906553e-07,6.011375037383191e-11,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,0.0,0.15,0.0
9.882618279797606,0.0012353272849747008,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,7.142857142857143,0.15,0.0
586.5002272152179,0.07331252840190224,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,14.285714285714286,0.15,0.0
746.3361569079799,0.09329201961349749,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,21.42857142857143,0.15,0.0
126.92438888353017,0.01586554861044127,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,28.571428571428573,0.15,0.0
3.932190455476612,0.0004915238069345765,0.0,0.0,0.02,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1.0,1.0,1.0,35.714285714285715,0.15,0.0
